iter	Logloss
0	0.5778603987
1	0.4983206415
2	0.4409308495
3	0.3953826211
4	0.3551428659
5	0.3301913026
6	0.3047401626
7	0.2822100156
8	0.2676490437
9	0.255659475
10	0.2443245231
11	0.2354794292
12	0.2277249175
13	0.2211473143
14	0.2086176191
15	0.1983389545
16	0.1904069975
17	0.1845567629
18	0.1804940112
19	0.1752926839
20	0.1719311305
21	0.1664340279
22	0.1594892725
23	0.1542418591
24	0.1510331538
25	0.1475210066
26	0.144460802
27	0.1416756023
28	0.1378192654
29	0.1337527486
30	0.1295014419
31	0.1247318441
32	0.1211046244
33	0.1169429383
34	0.1140223169
35	0.1104963971
36	0.1056443871
37	0.1021942968
38	0.09939695953
39	0.09606304416
40	0.09237908698
41	0.08860804199
42	0.08629715907
43	0.0826819779
44	0.07896690864
45	0.07872829809
46	0.07681190813
47	0.07599705535
48	0.07346264728
49	0.07217380598
50	0.07037827876
51	0.06819861276
52	0.0661756404
53	0.06471087716
54	0.06251904252
55	0.06018083746
56	0.05825175248
57	0.05671829372
58	0.05527554549
59	0.05340308648
60	0.05155611657
61	0.05043837312
62	0.04932618451
63	0.04775051637
64	0.04650069831
65	0.04582234482
66	0.04518812043
67	0.04407604019
68	0.04286390775
69	0.04188074384
70	0.04127290032
71	0.0397639801
72	0.0383205259
73	0.03778117663
74	0.03675949109
75	0.03554935579
76	0.0342871926
77	0.03335945637
78	0.03276546899
79	0.03230146309
80	0.03171127183
81	0.03106702458
82	0.0303300263
83	0.02995421979
84	0.02942364556
85	0.02905215845
86	0.02822404094
87	0.02784817559
88	0.02712222508
89	0.02641784371
90	0.02608746368
91	0.02551183762
92	0.02489235804
93	0.02445739121
94	0.02422240647
95	0.02387611433
96	0.02362155759
97	0.02323763092
98	0.02308602147
99	0.02261187504
100	0.02213421735
101	0.02164596706
102	0.02145136022
103	0.02108152501
104	0.0206038828
105	0.02010909768
106	0.01973378349
107	0.01944176872
108	0.01909094971
109	0.01864010328
110	0.01843342843
111	0.01819314275
112	0.01792946574
113	0.01758299245
114	0.0173696326
115	0.01698352609
116	0.0169835199
117	0.01682235823
118	0.01681403525
119	0.01667343332
120	0.01653634883
121	0.01651063678
122	0.01621326998
123	0.01574700839
124	0.01566188676
125	0.01547100482
126	0.01525868688
127	0.01511127299
128	0.01479972493
129	0.01460794969
130	0.01433067508
131	0.01433025088
132	0.01428505972
133	0.01405508642
134	0.01405502295
135	0.01382708859
136	0.0137031326
137	0.01349389708
138	0.01326405383
139	0.01302080495
140	0.01284681125
141	0.01267088001
142	0.01256103562
143	0.01244941547
144	0.01223314815
145	0.01208659039
146	0.01199895453
147	0.01174595991
148	0.01151660201
149	0.01137573533
150	0.01123068782
151	0.01114430907
152	0.0110899628
153	0.01091451769
154	0.01078877743
155	0.01064062815
156	0.01060039115
157	0.01055827466
158	0.01046749524
159	0.01039765795
160	0.01029585786
161	0.01016556597
162	0.01009067312
163	0.01001046695
164	0.00988047928
165	0.009789862416
166	0.009675554641
167	0.009675520581
168	0.009629899805
169	0.009574342858
170	0.009454104807
171	0.009304315239
172	0.009133095091
173	0.008943779128
174	0.008889576057
175	0.008840491245
176	0.008729620413
177	0.008627237438
178	0.008498392322
179	0.008408928072
180	0.008299789645
181	0.008239150047
182	0.008238807127
183	0.008129768557
184	0.008047574526
185	0.007996706219
186	0.007930652662
187	0.007930558223
188	0.007930541193
189	0.007878212186
190	0.007806385492
191	0.007748920422
192	0.007706365028
193	0.007678833101
194	0.007633484803
195	0.007553721403
196	0.007553704373
197	0.00755354646
198	0.007512471893
199	0.007512436285
